中国成人2型糖尿病胰岛素促泌剂应用的专家共识	O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O
推荐意见循证医学据分级常见缩略语见表1~3	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
一临床地位与使用时机	O;O;O;O;O;O;O;O;O;O
1.二甲双胍被推荐为治疗T2DM的一线首选和全程用药	O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O
二甲双胍有可靠的短期和长期降糖疗效单独使用能有效降低T2DM患者的FPGPPG可使HbA1c下降1.0%~2.0%(去除安慰剂效应后)可使中国新诊断T2DM患者的HbA1c降低1.8%(可能含安慰剂效应)且不受体重影响	B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;B-Test_items;I-Test_items;E-Test_items;B-Test_items;I-Test_items;E-Test_items;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
在相似的基线HbA1c条件下最佳有效剂量(2000mg/d)的二甲双胍的降糖疗效强于其他口服降糖药	O;O;O;O;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;O;O;O;O;O;O;O;O;O;O;B-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;E-Amount;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;B-Method;E-Method;O;O;O
数据分析显示二甲双胍单药治疗疗效不佳的患者联合其他口服降糖药可进一步获得明显的血糖改善(I级)	O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Method;E-Method;O;O;O;O;O;O;O;O;O;O;O;O;B-Test_items;E-Test_items;O;O;O;O;O;O
与以其他口服降糖药物作为一线药物治疗的患者相比以二甲双胍作为一线治疗的患者加用第二种口服降糖药或需要联合胰岛素治疗的时间最晚今后需调整治疗方案的可能性也最低	O;O;O;O;B-Method;E-Method;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Method;E-Method;O;O;O;O;O;O;O;O;B-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
另外二甲双胍具有心血管保护作用	O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;B-Anatomy;I-Anatomy;E-Anatomy;O;O;O;O
二甲双胍具有良好的安全性和耐受性低血糖发生率低其胃肠道反应多为一过性不导致肾脏损害长期使用不增加高乳酸血症或乳酸酸中毒风险	B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;B-ADE;I-ADE;E-ADE;O;O;O;O;O;B-ADE;I-ADE;I-ADE;I-ADE;E-ADE;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O
与其他降糖药物相比二甲双胍具有良好的成本-效益比(I级)	O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
如无禁忌证二甲双胍是治疗T2DM的首选药物和联合治疗方案中的基础治疗药物且应一直保留在糖尿病治疗方案中	O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O
2.二甲双胍是否只是超重/肥胖T2DM患者的首选用药	O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;B-Disease;E-Disease;O;B-Disease;E-Disease;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O
回顾性和前瞻性临床研究结果均显示二甲双胍在正常体重/超重/肥胖T2DM患者中的疗效相当(I级)	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;B-Disease;E-Disease;O;B-Disease;E-Disease;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O
因此体重不是能否使用二甲双胍治疗的决定因素	O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O
无论对于超重/肥胖或体重正常的患者国内外主要糖尿病指南均推荐二甲双胍为治疗T2DM的首选用药	O;O;O;O;B-Disease;E-Disease;O;B-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O
能有效地降低糖尿病前期人群发生T2DM的风险且具有良好的耐受性和长期的有效性	O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
DPP是一项糖尿病预防计划的随机对照研究该研究结果显示强化生活方式干预和二甲双胍(850mg2次/d)治疗3年内T2DM的发生率分别降低58%和31%(I级)	O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Treatment;I-Treatment;I-Treatment;I-Treatment;I-Treatment;E-Treatment;O;B-Drug;I-Drug;I-Drug;E-Drug;O;B-Amount;I-Amount;I-Amount;I-Amount;E-Amount;B-Frequency;I-Frequency;I-Frequency;E-Frequency;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
DPP随访研究显示以安慰剂为对照二甲双胍可降低IGT人群糖尿病发生率约13%(I级)	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;B-Disease;I-Disease;E-Disease;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O
DPP/DPPOS结果显示与强化生活方式干预相比二甲双胍能减少糖尿病前期发展为糖尿病的发生率减少患者体重增加且10年内花费更低(I级)	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Treatment;I-Treatment;I-Treatment;I-Treatment;I-Treatment;E-Treatment;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;B-ADE;I-ADE;I-ADE;E-ADE;O;O;O;O;O;O;O;O;O;O;O;O;O
印度IDPP研究显示二甲双胍单独或与强化生活方式干预联合应用均能降低糖尿病的发生风险分别为26.4%和28.2%(级)	O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;B-Treatment;I-Treatment;I-Treatment;I-Treatment;I-Treatment;E-Treatment;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
2012年IDF全球T2DM指南推荐预防糖尿病最好起始生活方式干预	O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;B-Treatment;I-Treatment;I-Treatment;I-Treatment;I-Treatment;E-Treatment
对于IFG年龄<60岁的肥胖人群可给予二甲双胍干预	O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;B-Disease;E-Disease;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O
接受二甲双胍干预的患者应限于有预防糖尿病意愿有很好的治疗依从性并有条件按照医嘱定期接受糖代谢评估的糖尿病前期个体	O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Test;I-Test;I-Test;I-Test;E-Test;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O
二作用机制	O;O;O;O;O
二甲双胍改善高血糖主要机制包括	B-Drug;I-Drug;I-Drug;E-Drug;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O
(1)作用于肝脏抑制糖异生减少肝糖输出	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
(3)作用于肠道抑制肠壁细胞摄取葡萄糖提高GLP-1水平	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items
三剂量与临床疗效	O;O;O;O;O;O;O;O
1.二甲双胍的最小最大及最佳使用剂量	O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O
临床研究显示在500~2000mg/d的剂量范围内二甲双胍的降糖效果与剂量呈正相关	O;O;O;O;O;O;O;B-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;E-Amount;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O
500mg/d二甲双胍可降低HbA1c0.6%(减去安慰剂效应后以下同)2000mg/d可降低HbA1c2.0%且与1000mg或1500mg比较胃肠道反应差异无统计学意义	B-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;E-Amount;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;B-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;E-Amount;O;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;B-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;O;B-Amount;I-Amount;I-Amount;I-Amount;I-Amount;E-Amount;O;B-Amount;I-Amount;I-Amount;I-Amount;I-Amount;E-Amount;O;O;B-ADE;I-ADE;I-ADE;I-ADE;E-ADE;O;O;O;O;O;O;O;O
UKPDS研究中二甲双胍强化治疗剂量中位数达到2550mg/d缓释剂型推荐最大用量为2000mg/d普通片推荐成人可用的最大剂量为2550mg/d	O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;B-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;E-Amount;O;O;O;O;O;O;O;O;O;O;O;B-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;E-Amount;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;E-Amount
综上所述二甲双胍起效的最小推荐剂量为500mg/d成人可用的最大剂量为2550mg/d最佳有效剂量为2000mg/d	O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;B-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;E-Amount;O;O;O;O;O;O;O;O;O;O;B-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;E-Amount;O;O;O;O;O;O;O;B-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;E-Amount
开始时服用500mg/d或<1000mg/d1~2周后加量至最大有效剂量2000mg/d或最大耐受剂量	O;O;O;O;O;B-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;E-Amount;O;B-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;E-Amount;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;E-Amount;O;O;O;O;O;O;O
考虑药物的临床疗效及患者依从性可采用简化的剂量方案建议起始500mg2次/d如无明显胃肠道不良反应随后可逐步增加至1000mg2次/d	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Amount;I-Amount;I-Amount;I-Amount;E-Amount;B-Frequency;I-Frequency;I-Frequency;E-Frequency;O;O;O;O;B-ADE;I-ADE;I-ADE;I-ADE;I-ADE;I-ADE;E-ADE;O;O;O;O;O;O;O;O;B-Amount;I-Amount;I-Amount;I-Amount;I-Amount;E-Amount;B-Frequency;I-Frequency;I-Frequency;E-Frequency
二甲双胍1000mg2次/d可维持24h有效血药浓度	B-Drug;I-Drug;I-Drug;E-Drug;B-Amount;I-Amount;I-Amount;I-Amount;I-Amount;E-Amount;B-Frequency;I-Frequency;I-Frequency;E-Frequency;O;O;O;O;O;O;O;O;B-Pathogenesis;I-Pathogenesis;I-Pathogenesis;E-Pathogenesis
可根据患者状况个体化治疗通常剂量1500~2000mg/d分2~3次服用	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;E-Amount;B-Frequency;I-Frequency;I-Frequency;I-Frequency;E-Frequency;O;O
3.二甲双胍的剂型	O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O
目前国内外主要有单一成分的二甲双胍普通片(250mg/片500mg/片或850mg/片)二甲双胍缓释片或胶囊(500mg/片或500mg/胶囊)二甲双胍肠溶片或胶囊(250mg/片或250mg/胶囊)二甲双胍粉剂以及与其他口服降糖药如磺脲类药物或DPP-4抑制剂组成的复方制剂	O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;B-Method;E-Method;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O
4.不同剂型二甲双胍疗效的区别	O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O
(1)各种剂型的主要区别在于给药后制剂中药物的溶出释放行为不同普通片剂在胃内崩解释放	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
缓释片和缓释胶囊在胃肠道内缓慢地溶出释放	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
(2)普通片剂在胃内的溶出速度较快肠溶片和肠溶胶囊次之缓释片再次之	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
因而每种制剂给药后血药浓度峰值达峰时间表观半衰期等参数存在一定的差异多剂量给药后的达稳时间也不一致	O;O;O;O;O;O;O;O;O;B-Pathogenesis;I-Pathogenesis;I-Pathogenesis;E-Pathogenesis;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
(3)缓释片/胶囊和肠溶片/胶囊相对于普通片剂而言可减少给药后的胃肠道反应提高患者的用药依从性	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-ADE;I-ADE;I-ADE;I-ADE;E-ADE;O;O;O;O;O;O;O;O;O;O
(4)合格的药物制剂在相同的给药剂量下各种剂型间应具有生物等效性	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
(5)不同剂型的临床疗效是否一致尚需更多的临床研究证实	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
5.二甲双胍单药治疗的降糖疗效	O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O
一项随机双盲平行对照研究结果显示在减去安慰剂效应后二甲双胍单药治疗29周可降低FPG3.2mmol/LPPG4.0mmol/LHbA1c1.8%(I级)	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;B-Duration;I-Duration;E-Duration;O;O;O;B-Test_items;I-Test_items;E-Test_items;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;B-Test_items;I-Test_items;E-Test_items;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;B-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;B-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;O;O;O
在中国人群开展的安慰剂对照的临床研究中1000mg/d或1700mg/d二甲双胍单药治疗可使HbA1c分别降低0.7%和1.0%(去除安慰剂效应后)(I级)	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;E-Amount;O;B-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;E-Amount;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;O;O;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;O;O;O;O;O;O;O;O;O;O;O;O;O
一项前瞻性随机对照研究显示在新诊断的曾经接受短期胰岛素治疗后的T2DM患者中以二甲双胍(2000mg/d)为基础的口服降糖药物组疗效与甘精胰岛素组的降糖疗效相当(I级)	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;E-Drug;O;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;B-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;E-Amount;O;O;O;O;O;B-Method;E-Method;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O
在中国人群中的研究显示2000mg/d二甲双胍的疗效与1000mg/d二甲双胍联合DPP-4抑制剂的疗效相当(I级)	O;O;O;O;O;O;O;O;O;O;O;B-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;E-Amount;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;B-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;E-Amount;B-Drug;I-Drug;I-Drug;E-Drug;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O
一项前瞻性随机对照研究显示在新诊断的T2DM患者中二甲双胍(1500mg/d)的降糖疗效和阿卡波糖(300mg/d)相当	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;B-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;E-Amount;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;B-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;E-Amount;O;O;O
6.二甲双胍联合磺脲类药物的疗效	O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;B-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O
二甲双胍可改善IR减少肝糖输出	B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;B-Pathogenesis;E-Pathogenesis;O;O;O;O;O;O
磺脲类药物可促进胰岛素分泌两类药物联合作用机制互补具有更全面针对T2DM病理生理缺陷的特点	B-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O
在中国T2DM患者中开展的一项随机平行对照研究显示二甲双胍联合格列喹酮治疗组的HbA1c降低幅度(1.7%)高于二甲双胍联合阿卡波糖治疗组(0.9%)且两组低血糖体重增加比较差异无统计学意义(I级)	O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;B-ADE;I-ADE;E-ADE;B-ADE;I-ADE;I-ADE;E-ADE;O;O;O;O;O;O;O;O;O;O;O;O;O;O
另有随机双盲双模拟平行对照研究显示与相同剂量的格列本脲相比在二甲双胍的基础上联合含有格列本脲的中药固定复方制剂降糖效果相当但低血糖发生的风险减低(I级)	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-ADE;I-ADE;E-ADE;O;O;O;O;O;O;O;O;O;O;O
7.二甲双胍联合TZDs的疗效	O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O
二甲双胍联合TZDs能更好地降低HbA1c显著改善胰岛功能和IR但联合治疗药物的不良反应(体重增加升高LDL-C)高于单用二甲双胍	B-Drug;I-Drug;I-Drug;E-Drug;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;O;O;O;O;O;O;O;O;O;B-Pathogenesis;E-Pathogenesis;O;O;O;O;O;O;O;O;O;O;O;O;O;B-ADE;I-ADE;I-ADE;E-ADE;B-ADE;I-ADE;I-ADE;I-ADE;I-ADE;I-ADE;E-ADE;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug
故IR严重的患者可考虑二甲双胍联合TZDs药物的治疗方案(I级)	O;B-Disease;E-Disease;B-Level;E-Level;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O
8.二甲双胍联合格列奈类药物的疗效	O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O
格列奈类药物属于餐时促胰岛素分泌剂与二甲双胍联用具有协同作用	B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O
在新诊断的血糖水平较高(HbA1c水平接近11.0%)的T2DM患者中瑞格列奈和二甲双胍联合比单用瑞格列奈能更有效降低HbA1c而低血糖发生风险却未增加	O;O;O;O;O;B-Test_items;E-Test_items;O;O;B-Test_Value;E-Test_Value;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;O;O;O;O;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;O;B-ADE;I-ADE;E-ADE;O;O;O;O;O;O;O;O
那格列奈联用二甲双胍与格列齐特联用二甲双胍的降糖强度相似但低血糖发生的风险更小(I级)	B-Drug;I-Drug;I-Drug;E-Drug;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;B-ADE;I-ADE;E-ADE;O;O;O;O;O;O;O;O;O;O;O
故在二甲双胍联合磺脲类药物且低血糖发生风险较高时可考虑选用二甲双胍联合格列奈类药物	O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;B-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;B-ADE;I-ADE;E-ADE;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug
在二甲双胍的基础上加用米格列奈可进一步降低HbA1cFPG和PPG并提高达标率而不良事件的发生率比较差异无统计学意义	O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;B-Test_items;I-Test_items;E-Test_items;O;B-Test_items;I-Test_items;E-Test_items;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
9.二甲双胍联合α-糖苷酶抑制剂的疗效	O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O
